accion,estrategia,TP,SL,TR,sample,sample_per,Resultados,Efectividad,RR,Operaciones
NVDA,estrategia_1,1.37,-2.12,0.94,244,19.4,-1.316,50.0,0.6462264150943396,8
NVDA,estrategia_2,1.37,-1.93,0.93,22,18.97,-0.878,50.0,0.7098445595854923,8
OXY,estrategia_0,2.18,-1.75,1.03,111,8.82,-0.555,50.0,1.2457142857142858,2
OXY,estrategia_1,0.79,-1.69,0.72,221,17.57,-2.375,0.0,0.4674556213017752,2
OXY,estrategia_2,2.71,-2.12,1.14,23,19.83,-0.555,50.0,1.2783018867924527,2
PFE,estrategia_0,2.01,-1.45,1.1,82,6.52,-0.049,50.0,1.386206896551724,4
PFE,estrategia_1,0.22,-1.5,0.44,237,18.84,0.344,75.0,0.14666666666666667,4
PFE,estrategia_2,0.36,-1.32,0.44,22,18.97,0.361,75.0,0.2727272727272727,4
PINS,estrategia_0,2.96,-2.45,1.96,115,19.66,-3.982,60.0,1.2081632653061223,5
PINS,estrategia_1,2.38,-2.51,1.22,113,19.32,-4.952,40.0,0.9482071713147411,5
PINS,estrategia_2,1.8,-1.67,0.9,14,19.44,-4.368,40.0,1.0778443113772456,5
PLTR,estrategia_0,8.72,-3.05,9.31,18,8.22,2.143,60.0,2.8590163934426234,10
PLTR,estrategia_1,3.44,-4.11,1.75,38,17.35,1.738,60.0,0.8369829683698297,10
PLTR,estrategia_2,2.2,-2.37,1.12,17,18.28,2.906,60.0,0.9282700421940928,10
RBLX,estrategia_0,4.72,-2.82,2.74,29,26.61,0.257,33.333,1.673758865248227,6
RBLX,estrategia_1,4.41,-2.52,2.31,21,19.27,0.744,33.333,1.75,6
RBLX,estrategia_2,3.7,-2.72,2.13,16,17.2,0.738,33.333,1.3602941176470589,6
RIOT,estrategia_0,6.84,-5.21,5.67,50,3.97,-3.224,42.857,1.3128598848368522,7
RIOT,estrategia_1,5.97,-4.44,2.89,235,18.68,3.13,57.143,1.3445945945945945,7
RIOT,estrategia_2,7.06,-4.25,3.03,22,18.97,-0.425,57.143,1.6611764705882353,7
SNAP,estrategia_0,3.22,-2.58,2.71,81,7.23,-2.291,50.0,1.248062015503876,8
SNAP,estrategia_1,2.41,-2.45,1.16,214,19.09,-0.006,50.0,0.9836734693877551,8
SNAP,estrategia_2,2.46,-2.56,1.3,19,20.43,0.048,50.0,0.9609375,8
