,Date,gap,Open,Open_1,mov_high,mov_low,cierre,Volume,Close
0,2021-08-12,0.14145605431911681,106.19,107.25189999999999,-0.020419218680497075,-1.8758642038043123,-0.6824121530714105,6400312,106.52
1,2021-08-11,0.12254901960783884,106.21,107.2721,-0.990099009900991,-3.218078139609462,-1.1485745128509541,8305138,106.04
2,2021-08-10,0.09642271719217871,103.81,104.8481,1.4133780202025559,-1.5718930529022457,1.174937838644664,8056071,106.08
3,2021-08-09,-0.918484500574047,103.56,104.5956,-0.311294165337747,-2.452875646776732,-0.8466895356974966,7954709,103.71
4,2021-08-06,0.33003300330033336,103.36,104.3936,0.8299359347699464,-0.9900990099009968,0.12108021947704613,10988170,104.52
5,2021-08-05,0.08745505781751377,103.0,104.03,0.5863693165433043,-1.4515043737383497,-0.9708737864077719,8130781,103.02
6,2021-08-04,-1.2128856976518534,101.81,102.8281,0.6047957708058367,-1.3304728960274597,0.07964748935358167,14144330,102.91
7,2021-08-03,-0.3976143141152997,100.2,101.202,1.9742692832157511,-3.0552755874389823,1.8359320962036365,14440020,103.06
8,2021-08-02,0.8494208494208588,104.48,105.5248,1.596970569951324,-4.828059375615962,-4.6669598047094185,24885500,100.6
9,2021-07-30,-0.9781790820165464,105.28,106.3328,-0.5386860874537309,-2.7957506996900356,-2.570044238466411,1250000,103.6
10,2021-07-29,0.4569687738004472,105.52,106.5752,0.4361239763096959,-1.740742686853974,-0.2394553329480049,6784558,106.32
11,2021-07-28,0.5351681957186566,105.2,106.25200000000001,1.4945601023980666,-1.818318714000693,-1.140684410646391,8571033,105.04
12,2021-07-27,3.173374613003097,106.64,107.7064,0.04976491647664668,-4.926726731187744,-2.8469988784324807,14930538,104.64
13,2021-07-26,-0.3933910306845059,101.28,102.2928,1.1996934290585421,-1.2247196283609338,1.0432796834185787,6728613,103.36
14,2021-07-23,0.7874015748031609,102.4,103.424,-0.37128712871287156,-2.305074257425743,-1.6862623762376234,4722409,101.68
15,2021-07-22,-0.22935779816513271,104.4,105.444,-0.9142293539698785,-3.6455369674898606,-3.6455369674898606,5427873,101.6
16,2021-07-21,0.7086614173228336,102.32,103.3432,1.4870838139326048,-1.144922936390589,1.25484792419821,8440719,104.64
17,2021-07-20,0.08333333333333157,96.08,97.0408,5.027988227632086,-1.1549781122991594,4.6982300228357445,9390364,101.6
18,2021-07-19,-2.868525896414352,97.52,98.4952,-0.5839878491540657,-3.99532159942819,-2.5333214207392816,12362151,96.0
19,2021-07-16,0.31347962382445865,102.4,103.424,-0.4486386138613985,-3.1559405940594156,-2.923886138613862,5695470,100.4
20,2021-07-15,-0.9367681498829118,101.52,102.5352,0.8044066818029284,-1.9263628490508635,-0.443945103730236,6423854,102.08
21,2021-07-14,-0.0775795190069805,103.04,104.0704,-0.22138859848718084,-2.220035668163091,-1.528196297890661,5588733,102.48
22,2021-07-13,-0.15255530129671682,104.72,105.7672,-0.9900990099009935,-2.5784931434319867,-2.5028553275495597,4926444,103.12
23,2021-07-12,-0.7598784194528849,104.48,105.5248,-0.42151228905432725,-2.203084014373869,-0.6110411960032178,6969833,104.88
24,2021-07-09,1.0878010878010924,104.08,105.1208,0.37975357873988147,-1.5228194610391157,0.15144481396640672,5165288,105.28
