,Date,gap,Open,Open_1,mov_high,mov_low,cierre,Volume,Close
0,2021-08-11,0.3036437246963678,69.37,70.06370000000001,1.1222644536328839,-1.0043717360059659,-0.3192808829679391,9529890,69.84
1,2021-07-20,-0.2044989775051133,68.32,69.00319999999999,1.1112528114638214,-1.0625594175342543,0.22723583833793803,9332631,69.16
2,2021-08-09,0.0,68.78,69.4678,-0.28473623750860233,-1.9545746374579267,-1.4507440857490854,5160142,68.46
3,2021-08-06,-0.23088023088022597,69.14,69.8314,-0.8468969546651037,-1.6631486695097053,-1.5056264087502198,3857850,68.78
4,2021-08-05,0.0,69.24,69.9324,-0.8614032980421134,-2.0339642283119073,-0.9043018686617421,5532345,69.3
5,2021-08-04,3.4385233700505924,69.49,70.1849,-0.27769505976357317,-1.6455106440274159,-1.3463009849697072,6846307,69.24
6,2021-06-24,-2.3116313094367205,66.77,67.43769999999999,1.1896906329842247,-1.1680410215650694,-0.38213047004863104,5053999,67.18
7,2021-08-02,0.07321716210279273,68.34,69.02340000000001,-0.5409759588777193,-1.7289788680360734,-0.9756111695454224,4243043,68.35
8,2021-07-30,-1.6182156666189254,68.7,69.387,-0.5577413636560169,-1.9989335178059298,-1.5809877931024459,9619856,68.29
9,2021-07-29,2.330662782228688,70.25,70.9525,-0.7786899686409849,-1.6666079419329898,-1.5820443254289873,7597509,69.83
10,2021-06-09,-1.9730161032932156,67.57,68.2457,1.383676920304134,-1.063363699104857,0.5924182769024369,8434161,68.65
11,2021-07-27,-0.31999999999999834,68.53,69.2153,-0.23882002967552263,-1.3368431546204278,-0.41219210203523254,5812998,68.93
12,2021-07-26,-0.11590843233845016,68.94,69.6294,-0.47307602822946454,-1.6651012359721682,-1.2629722502276393,4314356,68.75
13,2021-07-23,0.33503277494536016,68.88,69.5688,-0.32888306252226945,-1.3350812433159627,-0.7888593737422523,3524311,69.02
14,2021-07-22,-0.5847098377430077,68.01,68.6901,0.17455208246894566,-1.2667036443388608,-0.058378136005036184,2901519,68.65
15,2021-07-21,-0.5767844268204636,68.95,69.6395,-0.8895813439211973,-2.3399076673439545,-1.7655210046022756,5816412,68.41
16,2021-05-20,0.630221310274062,68.66,69.3466,0.9133829199989745,-1.4082882217729358,0.004902908001256272,6540935,69.35
17,2021-07-19,-0.02914177473407551,68.61,69.2961,-0.32628098839617586,-2.3465967060195223,-1.5384704189701752,6054350,68.23
18,2021-07-16,0.13177159590044424,68.39,69.0739,-0.1504186096340237,-1.04800800302285,-0.6426450511698331,5965490,68.63
19,2021-07-15,-0.10304725452672954,67.86,68.5386,-0.21681213214159878,-1.705024613867219,-0.34812499817621784,6126992,68.3
20,2021-07-14,0.08822232024700494,68.07,68.7507,-0.931917784109828,-1.9209986225594622,-1.1937333001700172,5950122,67.93
21,2021-07-13,0.5186721991701161,67.83,68.5083,0.017078222638702893,-0.9900990099010005,-0.7273571231515018,4518554,68.01
22,2021-05-10,0.6765899864681831,66.96,67.6296,1.1391461726817982,-1.2710410826028846,-0.22120491619053256,8646654,67.48
23,2021-05-05,-2.88078002659182,65.74,66.39739999999999,0.9075656576914303,-1.3214372851948941,0.16958495362772444,6911242,66.51
24,2021-07-08,-0.43885313048565994,68.06,68.7406,-0.6118654768797587,-1.9211353988763538,-1.5283544222773773,4982633,67.69
25,2021-07-07,-0.014617745943562205,68.4,69.084,-0.9466736147298886,-1.85860691332292,-1.0479995367957902,6092473,68.36
26,2021-07-06,-0.46176046176045193,68.98,69.66980000000001,-0.8752716385004793,-2.425441152407507,-1.8082440311297183,6169761,68.41
27,2021-07-02,0.21698249674527076,69.28,69.9728,-0.747147463014205,-1.904740127592444,-0.9615164749731459,3969293,69.3
28,2021-07-01,-0.15974440894568606,68.75,69.4375,-0.08280828082808936,-1.4797479747974847,-0.4428442844284494,5463979,69.13
29,2021-06-30,0.5299573089945523,68.29,68.97290000000001,-0.04769989372639419,-1.3960555522531382,-0.1636874772555749,6010372,68.86
30,2021-06-29,-0.04431314623338425,67.67,68.3467,-0.46337277439876007,-1.2388308433325947,-0.6096856175938146,4348132,67.93
31,2021-06-28,3.7993920972644375,68.3,68.983,-0.4972239537277351,-1.9323601467028086,-1.8598785207949802,6580310,67.7
32,2021-05-03,0.7089963762407481,63.92,64.5592,2.0768534926083366,-1.2224438964547284,1.9219569015724993,9500200,65.8
33,2021-04-30,-6.286571642910735,62.46,63.0846,1.609584589582866,-1.7985372024234108,0.6109256458787042,12994230,63.47
34,2021-06-23,0.23862788963459597,67.21,67.8821,-0.9311733137307099,-1.9476415726678933,-1.8150587562847769,4246810,66.65
35,2021-06-22,-0.16332590942835848,67.24,67.91239999999999,-0.4600043585560173,-1.6674421755084343,-1.2698711869997144,4796795,67.05
36,2021-06-21,0.5704849121753423,66.99,67.6599,-0.132870429900133,-1.3152546781771735,-0.45802609817631856,5310613,67.35
37,2021-06-18,-0.3272835465635211,67.0,67.67,-0.7241022609723583,-2.630412294960841,-1.5664252992463459,11464710,66.61
38,2021-06-17,2.3566975824844114,67.32,67.99319999999999,-0.7547813604889658,-2.21080931622573,-1.1371725407834736,7015715,67.22
39,2021-04-15,-4.978704655602879,64.7,65.34700000000001,1.580791773149474,-0.9900990099009984,0.6473135721609065,5635021,65.77
40,2021-06-15,0.48422597212032026,68.48,69.1648,-0.9611825668548157,-2.0600074026094264,-1.5539696493013733,6454167,68.09
41,2021-06-14,-1.1051330522029823,68.01,68.6901,-0.5242385729530205,-1.7762384972506988,-0.7862850687362449,5319472,68.15
